customer_name,total_sales,customer_rank
"Sean Miller",25043.05,1
"Sean Miller",25043.05,1
"Sean Miller",25043.05,1
"Sean Miller",25043.05,1
"Sean Miller",25043.05,1
"Tamara Chand",19017.847999999998,6
"Tamara Chand",19017.847999999998,6
"Tamara Chand",19017.847999999998,6
"Tamara Chand",19017.847999999998,6
"Tamara Chand",19017.847999999998,6
"Raymond Buch",15117.339,11
"Raymond Buch",15117.339,11
"Raymond Buch",15117.339,11
"Raymond Buch",15117.339,11
"Raymond Buch",15117.339,11
"Raymond Buch",15117.339,11
"Tom Ashbrook",14595.62,17
"Tom Ashbrook",14595.62,17
"Tom Ashbrook",14595.62,17
"Tom Ashbrook",14595.62,17
"Adrian Barton",14355.610999999997,21
"Adrian Barton",14355.610999999997,21
"Adrian Barton",14355.610999999997,21
"Adrian Barton",14355.610999999997,21
"Adrian Barton",14355.610999999997,21
"Adrian Barton",14355.610999999997,21
"Adrian Barton",14355.610999999997,21
"Adrian Barton",14355.610999999997,21
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Sanjit Chand",14142.333999999999,29
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Ken Lonsdale",14071.917,38
"Hunter Lopez",12873.297999999999,47
"Hunter Lopez",12873.297999999999,47
"Hunter Lopez",12873.297999999999,47
"Hunter Lopez",12873.297999999999,47
"Hunter Lopez",12873.297999999999,47
"Hunter Lopez",12873.297999999999,47
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Sanjit Engle",12209.438000000002,53
"Christopher Conant",12129.072,64
"Christopher Conant",12129.072,64
"Christopher Conant",12129.072,64
"Christopher Conant",12129.072,64
"Christopher Conant",12129.072,64
"Todd Sumrall",11885.871,69
"Todd Sumrall",11885.871,69
"Todd Sumrall",11885.871,69
"Todd Sumrall",11885.871,69
"Todd Sumrall",11885.871,69
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Greg Tran",11820.119999999997,74
"Becky Martin",11609.900000000001,84
"Becky Martin",11609.900000000001,84
"Becky Martin",11609.900000000001,84
"Becky Martin",11609.900000000001,84
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Seth Vernon",11420.645999999997,88
"Caroline Jumper",11079.742,98
"Caroline Jumper",11079.742,98
"Caroline Jumper",11079.742,98
"Caroline Jumper",11079.742,98
"Caroline Jumper",11079.742,98
"Caroline Jumper",11079.742,98
"Caroline Jumper",11079.742,98
"Caroline Jumper",11079.742,98
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
"Clay Ludtke",10880.545999999998,106
